No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,6,6,X,X,,,2301011901,"7960 N. Ventura Canyon Ave. Los Angeles, CA 91402",30227,Yes,RS-1,Vacant lot - dirt roadway,Tax Deed,750000,,"Per R&P, level lot w/ a vacated dirt road running thru the parcel at the terminus of Strathern St."
2,6,6,,X,,,2404026900,"8642 N. Sunland Blvd. Los Angeles, CA 91352",19358,Yes,(T)(Q)R3- 1VL,Structure on property,Cult. Affairs,500000,,Cultural Affairs' Sun Valley Jr. Art Center.
3,6,6,,,X,,2408006900,"8943 Glenoaks Blvd., Sun Valley",7903,Yes,,Old Firestation #77,Fire,,"$1,100,000.00 ",Councilman requested that property be held Êfor a community project
,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"57,488.00","$1,250,000.00",,,,,,,,,,,,,,
TOTAL LAHD RESERVED,"30,227.00","$750,000.00",,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"49,585.00","$1,250,000.00",,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,"7,903.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,,,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,,,,,,,,,,,,,,,,
