No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,##,9,,X,,,6006002900,"5863 S. Wall St. Los Angeles, CA 90011","5,120",Yes,MR1-1,Vacant lot,Gas Tax,100000,,"Per R&P, level vacant lot near intersection w/ Slauson."
,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"5,120.00","$100,000.00",,,,,,,,,,,,,,
TOTAL LAHD RESERVED,0.00,,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"5,120.00","$100,000.00",,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,0.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,,,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,,,,,,,,,,,,,,,,
