No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",Remarks Based on 4/09/2012 Meeting With Councilman and Staff
37,11,11,,,,S,4412028902,"15213 W. De Pauw St. Pacific Palisades, CA 90272",10312,Yes,R1-1,Vacant Lot,Ptrust-CAunapbal,2075000,1000000,
38,11,11,,,,S,4414017901,"545 N. Bienveneda Ave. Pacific Palisades, CA 90272",8960,Yes,R1-1,Vacant Lot,Tax Deed,1000000,500000,
39,11,11,,,,S,4493029900,Bundy Dr./Chalon Rd.,17045,Yes,RE15-1-H,Vacant Lot,Tax Deed,15000,50000,Update and report to CD 11
40,11,11,,,X,,4112029900,"6621 West Manchester Ave., Westchester",19515,,,Old Fire Station #5,Fire,,2000000,Hold per 4/9/2012 meeting
41,11,11,,,X,,4246008900,"3631 Centinela Ave., Mar Vista",14985,Yes,,Old Fire Station #62,,,1900000,CD11 would like market rate lease deal with Councilman requested that property be held for an Affordable Housing opportunity
42,11,11,,,X,,4259020900,"11950 Missouri Ave., West Los Angeles",,,,Old W.L.A. Animal Shelter,,,2000000,
,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"397,660.00","$42,020,000.00","$19,100,000.00",,,,,,,,,,,,,
TOTAL LAHD RESERVED,0.00,,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"34,334.00","$3,420,000.00",,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,"290,560.00","$26,980,000.00","$1,650,000.00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,"154,293.00",,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,"$11,550,000.00",,,,,,,,,,,,,,,
