No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,3,3,,X,,,2176026900,"18801 W. Edleen Dr. Los Angeles, CA 91356",21374,,,Vacamt Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
2,3,3,,X,,,2124018905,"6353 N. Lindley Ave. Los Angeles, CA 91335",68389,Yes,OS-1XL,Prop. next to Storm Drain,Gas Tax,500000,,"Street Maint. Yard.  Per R&P, level lot next to LA County Flood control parcel (APN2124018906); perhaps use City's for a natural park or have recreational use of the County Parcel. PER APPRAISAL: FLOOD CONCROL EASEMENT, 1.55 ACRE NET."
3,3,3,,X,,,2176026901,"18813 W. Edleen Dr. Los Angeles, CA 91356",18473,Yes,RA-1,Vacant Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
4,3,3,,X,,,2176026902,"18821 W. Edleen Dr. Los Angeles, CA 91356",18777,Yes,RA-1,Vacant Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
5,3,3,,X,,,2176026903,"18817 W. Edleen Dr. Los Angeles, CA 91356",18411,Yes,RA-1,Vacant Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
6,3,3,,X,,,2176026905,"18807 W. Edleen Dr. Los Angeles, CA 91356",18031,Yes,RA-1,Vacant Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
7,3,3,,,,S,2076003900,"4835 N. Calderon Rd. Los Angeles, CA 91364",16314,Yes,RE40-1-H,Vacant Prop,Tax Deed,2500,30000,
8,3,3,,,,S,2134041900,Lubao Ave./Haynes St.,4983,Yes,R1-1,Vacant Lot,Dedication,100000,150000,Developer dedication for Storm Drain.
9,3,3,,,X,,2167002900,"5340 Canoga Ave., Woodland Hills",12267,yes,,Old Fire Station# 84,,,,"Councilman requested that property be held for a $1,400,000.00 community project / Sent to ITGS for R&P."
,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"197,019.00","$1,602,500.00","$1,580,000.00",,,,,,,,,,,,,
TOTAL LAHD RESERVED,0.00,,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"163,455.00","$1,500,000.00",,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,0.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,"21,297.00",,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,"$102,500.00",,,,,,,,,,,,,,,
