No.,NCD,CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS,,,
35,5,5,,,,S,4371032907,Arimo /Beverly Glen Blvd.,2757,No,RE15-1,Vacant hillside lot,Tax Deed,1500,5000,,,,
36,5,5,,,,S,4371033900,"1423 N. Basil Lane Los Angeles, CA",35900,Yes,RE40-1,Vacant hillside lot,Tax Deed,20000,100000,,,,
37,5,5,,,,S,4371033902,"1517 N. Mirabel Lane Los Angeles, CA",26195,No,RE40-1,Vacant hillside lot,Tax Deed,12000,75000,,,,
38,5,5,,,,S,4371033903,"1446 N. Langtry Lane Los Angeles, CA",10888,No,RE40-1,Vacant hillside lot,Tax Deed,5000,20000,,,,
39,5,5,,,,S,4371034900,"1553 N. Culebra Lane Los Angeles, CA",5040,Yes,RE40-1,Vacant hillside lot,Tax Deed,5000,10000,,,,
40,5,5,,,,S,4371034903,"1600 N. Dessery Lane Los Angeles, CA",7480,Yes,RE40-1,Vacant hillside lot,Tax Deed,7000,15000,,,,
41,5,5,,,,S,4371035901,"1628 N. Mirabel Lane Los Angeles, CA",6198,Yes,RE40-1,Vacant hillside lot,Tax Deed,40000,15000,,,,
42,5,5,,,,S,4371035902,"1611 N. Dessery Lane Los Angeles, CA",15795,Yes,RE40-1,Vacant hillside lot,Tax Deed,150000,50000,,,,
43,5,5,,,,S,4371035903,"1559 N. Dessery Lane Los Angeles, CA",2560,Yes,RE40-1,Vacant hillside lot,Tax Deed,3000,5000,,,,
44,5,5,,,,S,4371037900,"1529 N. Langtry Lane Los Angeles, CA",5514,No,RE15-1,Vacant hillside lot,Tax Deed,2500,15000,,,,
45,5,5,,,,S,4371038901,"1707 N. Crater Lane Los Angeles, CA",20660,Yes,RE40-1,Vacant hillside lot,Tax Deed,20000,90000,,,,
46,5,5,,,,S,4371038902,"1721 N. Crater Lane Los Angeles, CA",12668,Yes,RE40-1,Vacant hillside lot,Tax Deed,10000,25000,,,,
47,5,5,,,,S,4371039900,"1729 N. Elm Tree Lane Los Angeles, CA 90077",5250,Yes,RE40-1,Vacant hillside lot,Tax Deed,5000,10000,,,,
48,5,5,,,,S,4371039902,"1737 N. Elm Tree Lane, Los Angeles, CA 90077",35380,Yes,RE40-1,Vacant hillside lot,Tax Deed,30000,150000,,,,
49,5,5,,,,S,4371039903,"10201 W. Lelia Lane Los Angeles, CA",6320,Yes,RE40-1,Vacant hillside lot,Tax Deed,5000,15000,,,,
50,5,5,,,,S,4371041900,"1753 N. Wild Rose Lane Los Angeles, CA 90077",7561,Yes,RE40-1,Vacant hillside lot,Tax Deed,7000,15000,Dense brush prevents conventional access to property,,,
51,5,5,,,,S,4371041901,"1814 N. Elm Tree Lane Los Angeles, CA 90077",5118,Yes,RE40-1,Vacant hillside lot,Tax Deed,5000,10000,Dense brush prevents conventional access to property,,,
52,5,5,,,,S,4371041903,Elm Tree Ln./Calgary Ln.,2544,Yes,RE40-1,Vacant hillside lot,Tax Deed,5000,5000,Dense brush prevents conventional access to,,,
53,5,5,,,,S,4371041905,"1734 N. Calgary Lane Los Angeles, CA",7582,Yes,RE40-1,Vacant hillside lot,Tax Deed,7000,15000,Dense brush prevents conventional access to,,,
