No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
26,1,1,,,X,,5467011901,Ave. 49/Figueroa St.,29530,Yes,OS,"med res. zone
vac.strip",,60000,,"Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: -500 SF DRAINAGE EASEMENT=29,030 SF NET."
27,1,1,,,X,,5467012900,Ave. 49/Oak Terrace Dr.,1010,Yes,R3,"med res. zone
vac.strip",Gas Tax,8000,,Per CD1 01/28/04 letter-remove from Surplus list.
28,1,1,,,X,,5467012901,Ave. 49/Oak Terrace Dr.,28070,Yes,R3,"med res. zone
vac.strip",Gas Tax,55000,,Per CD1 01/28/04 letter-remove from Surplus list.
29,1,1,,,X,,5468009901,280 S. Ave. 52,42690,Yes,OS,Res. vac land,Gas Tax,85000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: 80' WIDE ABANDONED RAIL ROAD.
30,1,1,,,X,,5468013900,Ave. 54/Glen Ellen Pl alley,566,No,RD2,res. zone vac. strip,Tax Deed,1000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: REAR 7.5'X75' SLIVER.
31,1,1,,,X,,5207026900,Von Keithian Ave./Elreno St.,1143,Yes,RE20-1,Vacant,Tax Deed,1500,,Vacant - Narrow-Long Strip of Land Along Fenn Street; CD Object to Sell.  Per CD1 01/28/04 letter-remove from Surplus list.
32,1,1,,,X,,5304017901,"711 E. Montecito Dr. Los Angeles, CA 90031",4969,Yes,OS-1XL,Vacant,Gas Tax,55000,,Vacant - Process for Surplus.  Construction on property; CD Object to Sell.  Per CD1 01/28/04 letter-remove from Surplus list.
33,1,1,,,X,,5408016900,Hill St./Ord St.,18869,Yes,C2-2,Vacant,Gas Tax,150000,,Vacant - Long Strip of Land Along Hill St - Pkg Lot; Chinatown Branch Library.  Per CD1 01/28/04 letter-remove from Surplus list.
34,1,1,,,X,,5452001900,"3644 E. Maceo St. Los Angeles, CA 90065",4781,Yes,RE20-1,Vacant,Tax Deed,15000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
35,1,1,,,X,,5454016901,"3649 E. Loosmore St. Los Angeles, CA 90065",14182,Yes,RE20-1,Vacant,Tax Deed,60000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
36,1,1,,,X,,5454016902,"3642 E. Roseview Ave. Los Angeles, CA 90065",25076,Yes,RE20-1,Vacant,eet - Gas Tax,140000,,Vacant; Per CD1 01/28/04 ltr-remove from Surplus list. Housing released fr. hold 8/06.
37,1,1,,,X,,5454018900,"1049 W. Andalusia Ave. Los Angeles, CA 90065",4800,Yes,RE20-1,Vacant,Tax Deed,40000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
38,1,1,,,X,,5454018902,"1085 W. Andalusia Ave. Los Angeles, CA 90065",9778,Yes,RE20-1,Vacant,Tax Deed,60000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
39,1,1,,,X,,5454019901,Avenue 37/Camino Real,8661,Yes,RE20-1,Vacant land-locked,Gas Tax,30000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
40,1,1,,,X,,5454020900,"3633 E. Maceo St. Los Angeles, CA 90065",4761,Yes,RE20-1,Vacant,Tax Deed,40000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
41,1,1,,,X,,5454020901,"3640 E. River View St. Los Angeles, CA 90065",4789,Yes,RE20-1,Vacant,Tax Deed,40000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
42,1,1,,,X,,5454020904,"3655 E. River View St. Los Angeles, CA 90065",4766,Yes,RE20-1,Vacant,Tax Deed,40000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
43,1,1,,,X,,5454021900,Andalusia Ave./Loosmore St.,3291,Yes,RE20-1,Vacant,Tax Deed,35000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
44,1,1,,,X,,5455007900,Isabel St./Macon St.,500,Yes,R1-1,Vacant,Tax Deed,1000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
45,1,1,,,X,,5455008902,Frederick St./Cypress Ave.,2514,Yes,R1-1,Vacant,Gas Tax,5000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
46,1,1,,,X,,5455008903,Silver St./Cypress Ave.,2287,Yes,R2-1,Vacant,Gas Tax,5000,,"Vacant; CD Object to Sell.  Per CD1 01/28/04 letter-
remove from Surplus list."
47,1,1,,,X,,5455009900,Cypress Ave./Future St.,880,Yes,R1-1,"Vacant - strip next to
residentail",Gas Tax,2500,,Vacant -Sliver Strip -8 feet Wide Remnant Portion Aft St Align; CD Object to Sell.  Per CD1 01/28/04 letter-remove from Surplus list.
48,1,1,,,X,,5455009901,Cypress Ave./Frederick St.,882,Yes,R1-1,"Vacant - strip next to
residentail",Gas Tax,2500,,Vacant -Sliver Strip -8 feet Wide Remnant Portion Aft St Align; CD Object to Sell.  Per CD1 01/28/04 letter-remove from Surplus list.
49,1,1,,,X,,5467023900,"313 N. Furness Ave. Los Angeles, CA 90065",7364,Yes,RE40-1,Vacant,Tax Deed,85000,,Vacant; CD Object to Sell-ST-CHECK JBx FOR CAMPFIRE SITE.  Per CD1 01/28/04 letter-remove from Surplus list.
50,1,1,,,X,,5469009900,"649 N. Avenue 50 Los Angeles, CA 90042",6163,Yes,RD2-1,Vacant,Tax Deed,30000,,Vacant; CD Object to Sell.  Per CD1 01/28/04 letter- remove from Surplus list.
51,1,1,,,,S,5136001900,"949 S. Carondelet St. Los Angeles, CA 90006",3138,No,R4-1,,Gas Tax,100000,20000,Vacant.  Housing released fr. hold 8/06.
52,1,1,,,,S,5303008900,"575 E. Montecito Dr. Los Angeles, CA 90031",4800,Yes,OS-1XL,Vacant,Gas Tax,25000,10000,Vacant
53,1,1,,,,S,5303008903,"531 E. Montecito Dr. Los Angeles, CA 90031",24229,Yes,OS-1XL,Vacant - hillside,Gas Tax,50000,50000,Vacant
54,1,1,,,,S,5303008904,"583 E. Montecito Dr. Los Angeles, CA 90031",4800,Yes,OS-1XL,Vacant,Gas Tax,25000,10000,Vacant
55,1,1,,,,S,5303008905,"483 E. Montecito Dr. Los Angeles, CA 90031",5301,Yes,OS-1XL,Vacant,Gas Tax,10000,10000,Vacant
56,1,1,,,,S,5303008906,"479 E. Montecito Dr. Los Angeles, CA 90031",4840,Yes,OS-1XL,Vacant,Gas Tax,10000,10000,Vacant
57,1,1,,,,S,5303008907,"519 E. Montecito Dr. Los Angeles, CA 90031",5737,Yes,OS-1XL,Vacant,Gas Tax,10000,10000,Vacant
58,1,1,,,,S,5303008908,"511 E. Montecito Dr. Los Angeles, CA 90031",15076,Yes,OS-1XL,Vacant,Gas Tax,15000,30000,Vacant
59,1,1,,,,S,5303008909,"527 E. Montecito Dr. Los Angeles, CA 90031",5599,Yes,OS-1XL,Vacant,Gas Tax,10000,10000,Vacant
60,1,1,,,,S,5303008910,"551 E. Montecito Dr. Los Angeles, CA 90031",32790,Yes,OS-1XL,Vacant - hillside,Gas Tax,70000,70000,Vacant
61,1,1,,,,S,5303008911,"571 E. Montecito Dr. Los Angeles, CA 90031",4800,Yes,OS-1XL,Vacant,Gas Tax,25000,10000,Vacant
62,1,1,,,,S,5303008912,"579 E. Montecito Dr. Los Angeles, CA 90031",4800,Yes,OS-1XL,Vacant,Gas Tax,25000,10000,Vacant
63,1,1,,,,S,5303008913,"587 E. Montecito Dr. Los Angeles, CA 90031",9000,Yes,OS-1XL,Vacant,Gas Tax,40000,20000,Vacant
64,1,1,,,,S,5303008914,Montecito Dr./Berenice Ave.,2361,Yes,OS-1XL,Vacant,Gas Tax,1000,5000,Vacant
65,1,1,,,,S,5303008915,"507 E. Montecito Dr. Los Angeles, CA 90031",9392,Yes,OS-1XL,Vacant,Gas Tax,10000,20000,Vacant
66,1,1,,,,S,5303008916,"499 E. Montecito Dr. Los Angeles, CA 90031",18482,Yes,OS-1XL,Vacant,Gas Tax,15000,40000,Verify with Bureau of Street Maintenance (Landscape Median Island)
67,1,1,,,,S,5303008917,"523 E. Montecito Dr. Los Angeles, CA 90031",6634,Yes,OS-1XL,Vacant,Gas Tax,10000,10000,Vacant
68,1,1,,,,S,5303008918,"475 E. Montecito Dr. Los Angeles, CA 90031",5967,Yes,OS-1XL,Vacant,Gas Tax,30000,10000,Vacant
69,1,1,,,,S,5303008919,"487 E. Montecito Dr. Los Angeles, CA 90031",14664,Yes,OS-1XL,Vacant,Gas Tax,15000,30000,Vacant
70,1,1,,,,S,5303008920,"563 E. Montecito Dr. Los Angeles, CA 90031",13690,Yes,OS-1XL,Vacant,Gas Tax,45000,25000,Vacant
71,1,1,,,,S,5303008921,"495 E. Montecito Dr. Los Angeles, CA 90031",8459,Yes,OS-1XL,Vacant,Gas Tax,10000,15000,Vacant
72,1,1,,,,S,5303009900,"443 E. Montecito Dr. Los Angeles, CA 90031",20504,Yes,OS-1XL,Vacant,Tax Deed,15000,40000,Vacant
73,1,1,,,,S,5303009901,"467 E. Montecito Dr. Los Angeles, CA 90031",11565,Yes,OS-1XL,Vacant,Gas Tax,40000,20000,Vacant
74,1,1,,,,S,5303009902,"435 E. Montecito Dr. Los Angeles, CA 90031",15890,Yes,OS-1XL,Vacant,Gas Tax,15000,30000,Vacant
75,1,1,,,,S,5303009903,"455 E. Montecito Dr. Los Angeles, CA 90031",18520,Yes,OS-1XL,Vacant,Gas Tax,50000,40000,Vacant
76,1,1,,,,S,5303009904,"427 E. Montecito Dr. Los Angeles, CA 90031",17068,Yes,OS-1XL,Vacant,,15000,30000,Vacant
77,1,1,,,,S,5304002902,Montecito Dr./Sinova St.,4005,Yes,R1-1,Vacant,Tax Deed,15000,10000,Vacant - Long Strip of Land betwn Latona Rd./Montecito Dr.; CD Object to Sell
78,1,1,,,,S,5304014900,Montecito Dr./Sinova St.,900,Yes,R1-1,Vacant,Tax Deed,70000,5000,Vacant - Long Strip of Land betwn Latona
79,1,1,,,,S,5415003909,Riverside Dr./Figueroa St.,1413,Yes,PF-1,Vacant,,20000,5000,Construction supplies
80,1,1,,,,S,5447001901,Avenue 19/Figueroa St.,13244,Yes,OS-1XL,Railroad tracks,,175000,25000,Railway Easement
81,-1,-14,,,,S,5210025910,1816 Hancock Street,2249,Yes,OS-1XL,Vacant,Gas Tax,5000,5000,
82,-1,-14,,,,S,5412012900,"4276 N. Scandia Way Los Angeles, CA 90065",5144,,,Vacant,Tax Deed,150000,50000,Dirt Road.  LAHD released 8/06.
83,-1,-14,,,,S,5464004900,"3626 N. Primavera Ave. Los Angeles, CA 90065",15751,No,R1-1,Vacant,Tax Deed,80000,500000,
84,1,1,,,X,," 5455009900  
","1206 South Vermont Ave., Pico Hieghts",9496,,,Old Fire Station# 13 ,Fire,,,"Councilman requested that property be held for a $1,210,000.00 community project to be determined at a later date Settlement; prior approval for sale required for CA & government & Council"
85,1,1,,,,,5468027900,5524 Echo Drive,,,,Single Family Res,,,,
1,,2,,X,,,#######,7960 Bellaire Ave. Sun Valley,6010,Yes,R1,single res. Zone,Gas Tax,50000,,"Department of Rec. & Parks is considering the site for open space.  Per R&P, level lot."
2,,2,,,X,,#######,Ventura Blvd./Fruitland Dr.,26384,Yes,C2-1VL,Vacant lot,Gas Tax,1300000,,SMMC-Request to Reserve as Open Space per CD 2 Letter.  LAHD released hold 8/06.
3,,2,,,,S,#######,Keswick St./Clybourn Ave.,19455,Yes,M1-1,Alley,,100000,100000,Alley / Street
4,,2,,,,,#######,3897 Eureka Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
5,,2,,,,,#######,11265 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
6,,2,,,,,#######,11247 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
7,,2,,,,,#######,11253 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
8,,2,,,,,#######,11259 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
9,,2,,,,,#######,11273 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
10,2,5,,,,S,#######,Viewcrest Rd./Laurel Terrace Dr.,2890,Yes,RE15-1-H,Road ??,Tax Deed,2000,5000,Road sinage - Private Street
11,2,5,,,,S,#######,Viewcrest Rd./Laurel Terrace Dr.,30377,Yes,RE15-1-H,Road ??,Tax Deed,128500,50000,Private Road
1,3,3,,X,,,2176026900,"18801 W. Edleen Dr. Los Angeles, CA 91356",21374,,,Vacamt Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
2,3,3,,X,,,2124018905,"6353 N. Lindley Ave. Los Angeles, CA 91335",68389,Yes,OS-1XL,Prop. next to Storm Drain,Gas Tax,500000,,"Street Maint. Yard.  Per R&P, level lot next to LA County Flood control parcel (APN2124018906); perhaps use City's for a natural park or have recreational use of the County Parcel. PER APPRAISAL: FLOOD CONCROL EASEMENT, 1.55 ACRE NET."
3,3,3,,X,,,2176026901,"18813 W. Edleen Dr. Los Angeles, CA 91356",18473,Yes,RA-1,Vacant Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
4,3,3,,X,,,2176026902,"18821 W. Edleen Dr. Los Angeles, CA 91356",18777,Yes,RA-1,Vacant Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
5,3,3,,X,,,2176026903,"18817 W. Edleen Dr. Los Angeles, CA 91356",18411,Yes,RA-1,Vacant Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
6,3,3,,X,,,2176026905,"18807 W. Edleen Dr. Los Angeles, CA 91356",18031,Yes,RA-1,Vacant Lot,,200000,,"Per R&P, hill lot near El Caballero Dr.; these are 5 vacant adjacent lots.  LAHD released 8/06."
7,3,3,,,,S,2076003900,"4835 N. Calderon Rd. Los Angeles, CA 91364",16314,Yes,RE40-1-H,Vacant Prop,Tax Deed,2500,30000,
8,3,3,,,,S,2134041900,Lubao Ave./Haynes St.,4983,Yes,R1-1,Vacant Lot,Dedication,100000,150000,Developer dedication for Storm Drain.
9,3,3,,,X,,2167002900,"5340 Canoga Ave., Woodland Hills",12267,yes,,Old Fire Station# 84,,,,"Councilman requested that property be held for a $1,400,000.00 community project / Sent to ITGS for R&P."
1,4,4,X,X,X,,5549018900,"1905 N. Highland Ave. Los Angeles, CA 90068",10267,Yes,[Q]R4-1VL,Vacant,Gas Tax,500000,,"Per R&P, hill lot near intersection of Highland and Franklin Ave. Per 5/21/08 email from CLA remove fr. Surplus until further notice from either CLA or CD4."
2,4,4,,X,,,5532001900,"6614 W. Fountain Ave. Los Angeles, CA 90038",5495,Yes,R3-1XL,Park/Garden,Gas Tax,275000,,"Per R&P, level lot SE corner of Franklin Ave./June St.; possibly developed as a pocket park.  LAHD released"
3,4,4,,X,,,5549019900,"1911 N. Hillcrest Rd. Los Angeles, CA 90028",14025,Yes,R2-1XL,Vacant - Trees,Gas Tax,600000,,Leased for Pinehurst Park - Members only 213-688- 6003
4,4,4,,,,S,2429022900,"6939 W. Valleyton Tr. Universal City, CA 90068",2166,Yes,R1-1,Tree cover,Tax Deed,2500,10000,Unacessable house all around no way to enter hillside
5,4,4,,,,S,5549024900,Camrose Dr./Paramount Dr.,1444,Yes,R2-1XL,Paved Road,Tax Deed,1500,50000,Enter at 6938 Camrose Dr.  LAHD released 08/06.
