LOCATION ADDRESS,PERMIT TYPE,FILMING DAYS
"10 Fwy, La Cienga Blvd, Slauson Ave, 110 Fwy inclusive (Excluding FREEWAYS, and COUNTY AREAS and Leimert Park), Los Angeles, CA, 90056",Filming,3
"10 FWY.,  LINCOLN BLVD., SLAUSON AVE,. 110 FWY (INCLUSIVE)(EXCLUDING FREEWAYS AND COUNTY LAND), LOS ANGELES, CA, 90018",Filming,8
"10 Fwy., 101 Fwy.,405 Fwy., 110 Fwy inclusive (Excluding Fwys/Hwys, Park Property, All Special Conditioned Areas), Los Angeles, CA, 90012",Filming,5
"10 FWY., 110 FWY., 101 FWY., 5 FWY. (Inclusive, excluding State Hwys), LOS ANGELES , CA, 90012",Filming,1
"10 FWY., 110 FWY., 710 FWY., SLAUSON AVE. (INCLUSIVE, EXCLUDING CITY OF VERNON AND STATE HWYS), LOS ANGELES, CA, 90023",Still,2
"10 Fwy., 110 Fwy., Beaudry Ave., 101 Fwy., LA River. (Inclusive. Excludes Freeways) , Los Angeles, CA, 90012",Filming,4
"10 FWY., 110 FWY., LA CIENEGA BLVD., SLAUSON AVE. (Inclusive. Excludes Activity in Los Angeles County, Ladera Heights, and Leimert Park), Los Angeles , CA, 90018",Still,1
"10 Fwy., 5 Fwy., 110 Fwy., Soto St., Huntington Dr., Collis Ave., Ave 60. (Inclusive) , Los Angeles, CA, 90031",Filming,5
"10 Fwy., Alameda St., Adams Bl., Long Beach Ave. (Inclusive, excluding State Hwys and City of Vernon), Los Angeles, 90014",Filming,3
"10 FWY., Hoover Blvd., Olympic Blvd., Western Ave. Inclusive (Excluding Freeways), Los Angeles, CA, 90007",Filming,14
"10 Fwy., LA River., Alameda St., Washington Bl. (Inclusive, excluding State Hwys and City of Vernon, Los Angeles, 90021",Filming,1
"10 FWY-INDIANA ST.-5 FWY - LA RIVER, LOS ANGELES, CA",Still,15
"10 W Century Dr, Los Angeles, CA, 90067",Filming,1
"100 E 11th St, Los Angeles, CA, 90015",Filming,1
"100 Hudson Pl, Los Angeles, CA, 90004",Filming,1
"100 N Broadway, Los Angeles, CA, 90012",Filming,2
"100 N Central Ave, Los Angeles, CA, 90012",Filming,8
"100 N Central Ave, Los Angeles, CA, 90012",Still,1
"100 N Robertson Blvd, Los Angeles, CA, 90048",Filming,1
"100 N Toluca St, Los Angeles, CA, 90026",Filming,17
"100 N Venice Blvd, Venice, CA, 90291",Filming,2
"100 S Beachwood Dr, Los Angeles, CA, 90004",Filming,2
"100 S Berendo St, Los Angeles, CA, 90004",Filming,1
"100 S Central Ave, Los Angeles, CA, 90012",Filming,4
"100 S La Brea Ave, Los Angeles, CA, 90036",Filming,1
"100 S Main St, Los Angeles, CA, 90012",Filming,6
"100 S Main St, Los Angeles, CA, 90012",Still,4
"100 S Olive St, Los Angeles, CA, 90012",Filming,1
"100 S Windsor Blvd, Los Angeles, CA, 90004",Filming,2
"100 The Grove Dr, Los Angeles, CA, 90036",Filming,1
"100 W 1st St, Los Angeles, CA, 90012",Filming,16
"100 W 1st St, Los Angeles, CA, 90012",Still,4
"100 W 9th St, Los Angeles, CA, 90015",Filming,5
"100 W 9th St, Los Angeles, CA, 90015",Still,1
"1000 Alhambra Ave, Los Angeles, CA, 90012",Filming,1
"1000 East Cesar E Chavez Avenue, Los Angeles, CA, 90033",Filming,4
"1000 Elysian Park Ave, Los Angeles, CA, 90012",Filming,8
"1000 Elysian Park Ave, Los Angeles, CA, 90012",Still,2
"1000 Gayley Ave, Los Angeles, CA, 90024",Filming,1
"1000 Glendale Blvd, Los Angeles, CA, 90026",Filming,1
"1000 Hanley Ave, Los Angeles, CA, 90049",Filming,3
"1000 S Hope St, Los Angeles, CA, 90015",Filming,35
"1000 UNIVERSAL STUDIOS BL. (UNIVERSAL CITY WALK), UNIVERSAL CITY, CA, 91068",Filming,5
"1000 W 6th St, Los Angeles, CA, 90017",Filming,1
"1000 W 6th St, Los Angeles, CA, 90017",Still,3
"1000 W Olympic Blvd, Los Angeles, CA, 90021",Filming,2
"1000 Wilshire Blvd, Los Angeles, CA, 90017",Filming,3
