LOCATION ADDRESS,PERMIT TYPE,FILMING DAYS
"2071 Hobart Bl., Los Angeles, CA, 90018",Filming,4
"20720 Ventura Blvd, Woodland Hills, CA, 91364",Filming,1
"2074 Watsonia Terrace, Los Angeles, CA, 90068",Still,4
"2079 E 15th St, Los Angeles, CA, 90021",Filming,1
"2080 Century Park East, Los Angeles, CA, 90067",Filming,1
"20814 Stagg St, Los Angeles, CA, 91306",Filming,1
"20832 Valerio St, Los Angeles, CA, 91306",Filming,3
"20844 Lassen St, Los Angeles, CA, 91311",Filming,27
"2085 S Hobart Blvd, Los Angeles, CA, 90018",Filming,2
"20864 Wells Dr, Woodland Hills, CA, 91364",Filming,1
"20865 Wells Dr, Los Angeles, CA, 91364",Filming,1
"2089 Westwood Blvd, Los Angeles, CA, 90025",Filming,1
"209 S Garey St, Los Angeles, CA, 90012",Filming,1
"209 S Norton Ave, Los Angeles, CA, 90004",Filming,1
"209 S Wilton Pl, Los Angeles, CA, 90004",Filming,3
"2090 Redcliff St, Los Angeles, CA, 90039",Filming,16
"20903 Puente Road, Woodland Hills, CA, 91364",Still,1
"20914 Roscoe Blvd, Los Angeles, CA, 91304",Filming,4
"2092 Mt Olympus Dr, Los Angeles, CA, 90046",Filming,2
"20920 Costanso St, Los Angeles, CA, 91364",Filming,1
"20922 Roscoe Blvd, Canoga Park, CA, 91304",Filming,1
"20924 Sherman Way, Los Angeles, CA, 91303",Filming,2
"20928 Osborne St, Canoga Park, CA, 91304",Filming,4
"20933 Roscoe Blvd, Los Angeles, CA, 91304",Filming,1
"20968 Ventura Blvd, Los Angeles, CA, 91364",Filming,1
"20969 Ventura Blvd, Woodland Hills, CA, 91364",Filming,1
"20969 Ventura Boulevard #12, Woodland Hills, CA, 91364",Filming,1
"20th St, Hooper Ave, 25th St, Alameda Inclusive, Los Angeles, CA, 90058",Filming,2
"21 Park Ave, Venice, CA, 90291",Still,1
"210 Center St, Los Angeles, CA, 90012",Filming,17
"210 Frwy, 118 Frwy, 405 Frwy, Victory Bl., Vineland Av., Sunland Av., Inclusive (Excluding State Highways), Sun Valley, 91352",Filming,1
"210 Frwy, Big Tujunga Bl, USDA Forest Limits, Lowell Ave. (INCLUSIVE)(EXCLUDING ANGELES NATIONAL FORREST), Sunland, CA, 91342",Filming,6
"210 frwy., Sunland Blvd., Glenoaks Blvd., inclusive (Excluding State freeways/highways and City of San Fernando), Los Angeles, CA, 91352",Filming,1
"210 Fwy - 5 FWY- Hubbard St (inclusive. Excludes Freeways) , Los Angeles, CA, 91342",Filming,1
"210 Fwy, 118 Fwy., 5 Fwy., 134 Fwy., 2 Fwy., Inclusive (Excluding Freeways), Los Angeles , CA, 91040",Filming,1
"210 Fwy, Barclay St, LA County Border, Wilson Canyon Dr, (Inclusive, Excluding State Highways, Freeways and Parks), Sylmar, 91342",Filming,1
"210 Fwy, Hubbard St, Herrick Ave, Olden St, De Garmo Ave, (Inclusive, Excluding State Freeways, Highways and Parks), Sylmar, CA, 91342",Filming,2
"210 Fwy, Hubbard Street, Simshaw Road, Astoria Street, Eldridge Avenue, Olive View Dr, (Inclusive, Excluding State Highways, Freeways and Parks), Sylmar, CA, 91342",Filming,3
"210 FWY., 118FWY.,  San Fernando Rd., Sunland Blvd. Inclusive (Excluding Freeway), Los Angeles, CA, 91040",Filming,14
"210 Fwy., 134 Fwy., 170 Fwy., 5 Fwy., 118 Fwy (Inclusive for Los Angeles City proper only. Excludes Freeways, and all other City jurisdictions & LA County), Los Angeles, 91352",Filming,9
"210 Fwy., Wentworth St., Sheldon St., 5 Fwy (Inclusive, excluding State Hwys), Sylmar, CA, 91342",Filming,1
"210 S Santa Fe Ave Studio #301, Los Angeles, CA 90012",Still,1
"210 S Santa Fe Ave, Los Angeles, CA, 90012",Filming,3
"2100 Castilian Dr, Los Angeles, CA, 90068",Filming,1
"2100 Castilian Dr, Los Angeles, CA, 90068",Still,1
"2100 Cypress Ave, Los Angeles, CA, 90065",Filming,3
"2100 Ocean Front Walk, Los Angeles, CA, 90291",Filming,48
"2100 Ocean Front Walk, Los Angeles, CA, 90291",Still,39
"2100 W 3rd St, Los Angeles, CA, 90057",Filming,18
"2100 W 3rd St, Los Angeles, CA, 90057",Still,2
"21000 Plummer St, Chatsworth, CA, 91311",Filming,3
"21001 Califa St, Woodland Hills, CA, 91367",Filming,1
"2101 4th Ave, Los Angeles, CA, 90018",Filming,1
"2101 Panamint Dr, Los Angeles, CA, 90065",Still,1
"21010 Ventura Blvd, Woodland Hills, CA, 91364",Filming,2
"21018 Osborne St, Canoga Park, CA, 91304",Filming,244
"2102 W 24th St, Los Angeles, CA, 90018",Filming,1
"2103 Ridgemont Dr, Los Angeles, CA, 90046",Filming,4
"2103 Sacramento St, Los Angeles, CA, 90021",Filming,3
"21030 Vintage St, Los Angeles, CA, 91311",Filming,1
"21038 Victory Blvd, Los Angeles, CA, 91367",Filming,1
"21040 Califa St, Los Angeles, CA, 91367",Filming,1
"2105 Ridgemont Dr, Los Angeles, CA, 90046",Filming,10
"21050 Lassen St, Los Angeles, CA, 91311",Filming,274
"21052 Devonshire St, Los Angeles, CA, 91311",Filming,1
"2106 Fern Dell Pl, Los Angeles, CA, 90068",Filming,1
"2106 Thomas St, Los Angeles, CA, 90031",Filming,1
"2108 Laurel Canyon Blvd, Los Angeles, CA, 90046",Filming,1
"211 S Manhattan Pl, Apt #1, Los Angeles, CA, 90004",Filming,3
"2110 Montana St, Los Angeles, CA, 90026",Filming,2
"2110 Shell Ave, Venice, CA, 90291",Still,2
"2110 Workman St, Los Angeles, CA, 90031",Filming,1
"2111 Bellevue Ave, Los Angeles, CA, 90026",Filming,20
"2111 Bellevue Ave, Los Angeles, CA, 90026",Still,5
"2111 Griffith Park Blvd, Los Angeles, CA, 90039",Filming,1
"21110 Nordhoff St, Chatsworth, CA, 91311",Filming,221
"21110 Nordoff St Unit C, Chatsworth, CA, 91311",Filming,30
"21114 Merridy St, Los Angeles, CA, 91311",Filming,1
"21120 Merridy St, Los Angeles, CA, 91311",Filming,1
"21122 Tulsa St, Chatsworth, CA, 91311",Filming,2
"21123 Vintage St, San Fernando Valley, CA, 91311",Filming,1
"21130 Costanso St, Woodland Hills, CA, 91364",Filming,1
"21132 Costanso St, Los Angeles, CA, 91364",Filming,1
"21136 Ventura Blvd, Los Angeles, CA, 91364",Filming,1
"21144 Ventura Blvd, Los Angeles, CA, 91364",Filming,1
"21150 Dumetz Rd, Los Angeles, CA, 91364",Filming,3
"2116 Alta St, Los Angeles, CA, 90031",Filming,8
"2118 N Broadway, Los Angeles, CA, 90031",Filming,1
"212 S Saltair Ave, Los Angeles, CA, 90049",Filming,1
"212 Westminster Ave, Los Angeles, CA, 90291",Filming,5
"2120 Linda Flora Dr, Los Angeles, CA, 90077",Filming,1
"2120 Ridgeview Ave, Los Angeles, CA, 90041",Filming,1
"21200 Merridy St, Los Angeles, CA, 91311",Filming,1
"2121 Glendale Blvd, Los Angeles, CA, 90039",Filming,1
"2121 Hillhurst Ave, Los Angeles, CA, 90027",Filming,1
"2121 Lincoln Blvd, Los Angeles, CA, 90291",Filming,1
"2121 Trently Ln, Los Angeles, CA, 90210",Still,2
"2122 Aaron St, Los Angeles, CA, 90026",Filming,5
"2122 E 1st St, Los Angeles, CA, 90033",Filming,1
"2122 Lincoln Blvd, Venice, CA, 90291",Filming,1
"21221 Oxnard St, Woodland Hills, CA, 91367",Filming,3
"2123 Parkside Ave, Los Angeles, CA, 90031",Filming,4
"2123 Sawtelle Blvd, Los Angeles, CA, 90025",Filming,1
"2123 Valentine St, Los Angeles, CA, 90026",Still,1
"2124 Nichols Canyon Rd, Los Angeles, CA, 90046",Filming,3
"21255 Burbank Blvd, Los Angeles, CA, 91367",Filming,1
"2127 W 29th Pl, Los Angeles, CA, 90018",Filming,2
"2128 Hillhurst Ave, Los Angeles, CA, 90027",Filming,5
"2128 Hillhurst Avenue, Los Angeles, CA, 90027",Filming,1
"2128 Manitou Ave, Los Angeles, CA, 90031",Filming,2
"2128 N Hillhurst Ave, Los Angeles, CA, 90027",Filming,1
"2129 Colorado Blvd, Los Angeles, CA, 90041",Filming,1
"2129 W 20th St, Los Angeles, CA, 90018",Filming,2
"213 S Spring St, Los Angeles, CA, 90012",Filming,2
"2130 Vista Del Mar Ave, Los Angeles, CA, 90028",Filming,1
"21300 Roscoe Blvd, Canoga Park, CA, 91304",Filming,1
"21301 Tulsa St, San Fernando Valley, CA, 91311",Filming,1
"2131 Colorado Blvd, Los Angeles, CA, 90041",Filming,2
"2131 W 3rd St, Los Angeles, CA, 90057",Filming,15
"2131 W 3rd St, Los Angeles, CA, 90057",Still,1
"2131 W 3RD ST, LOS ANGELES, CA, 90071",Filming,1
"2131 W. 3rd St., Los Angeles, CA, 90057",Filming,1
"2131 West 3rd Street, Los Angeles, CA, 90057",Filming,2
"21314 Lassen St, Los Angeles, CA, 91311",Filming,1
"21316 Costanso St, Los Angeles, CA, 91364",Filming,1
"21320 Stanwell St, Chatsworth, CA, 91311",Filming,4
"21340 Devonshire St, Chatsworth, CA, 91311",Filming,1
"2135 Sunset Blvd, Los Angeles, CA, 90026",Filming,1
"2135 Veteran Ave, Los Angeles, CA, 90025",Filming,6
"21350 Mayall St, San Fernando Valley, CA, 91311",Filming,1
"2136 W 29th Pl, Los Angeles, CA, 90018",Filming,2
"2138 FEDERAL AV., LOS ANGELES, CA, 90025",Filming,3
"2138 Hillhurst Ave, Los Angeles, CA, 90027",Filming,1
"2138 Hillhurst Ave, Los Angeles, CA, 90027",Still,2
"2138 N Cahuenga Blvd, Los Angeles, CA, 90068",Filming,1
"2138 Westwood Blvd, Los Angeles, CA, 90025",Filming,1
"21381 Roscoe Blvd, Los Angeles, CA, 91304",Filming,1
"2139 N Beachwood Dr, Los Angeles, CA, 90068",Filming,5
"214 S Main St, Los Angeles, CA, 90012",Filming,15
"214 S Spring St, Los Angeles, CA, 90012",Filming,1
"214 W 2nd St, Los Angeles, CA, 90012",Filming,1
"2140 Alta St, Los Angeles, CA, 90031",Filming,1
"2140 Hyperion Ave, Los Angeles, CA, 90027",Filming,7
"2140 Hyperion Ave, Los Angeles, CA, 90027",Still,2
"2140 Hyperion Ave, Los Angeles, CA, 90039",Filming,1
"2141 Colorado Blvd, Los Angeles, CA, 90041",Filming,1
"2141 W Sunset Blvd, Los Angeles, CA, 90026",Filming,1
"21418 Devonshire St, Los Angeles, CA, 91311",Filming,2
"21420 Laker Ct, Los Angeles, CA, 91311",Filming,11
"2143 Panorama Ter, Los Angeles, CA, 90039",Still,1
"2147 Sunset Blvd, Los Angeles, CA, 90026",Filming,1
"2147 W Sunset Blvd, Los Angeles, CA, 90026",Filming,1
"2149 Sunset Blvd, Los Angeles, CA, 90026",Filming,2
"215 S Gaffey St, Los Angeles, CA, 90731",Filming,2
"215 S Larchmont Blvd, Los Angeles, CA, 90004",Filming,11
"215 S Santa Fe Ave, Los Angeles, CA, 90012",Filming,1
"215 Strada Corta Rd, Los Angeles, CA, 90077",Filming,1
"215 W 5th St, Los Angeles, CA, 90013",Filming,2
"215 W 6th St, Los Angeles, CA, 90014",Filming,5
"215 W 7th St, Los Angeles, CA, 90014",Filming,4
"215 W 8th St, Los Angeles, CA, 90014",Filming,1
"215 West 6th Street #1011, Los Angeles, CA`, CA, 90014",Filming,1
"2150 Kent St, Los Angeles, CA, 90026",Filming,9
"2151 Avenue of the Stars, Los Angeles, CA, 90064",Filming,8
"2151 Avenue of the Stars, Los Angeles, CA, 90067",Filming,11
"2151 Avenue of the Stars, Los Angeles, CA, 90067",Still,1
"2151 W 20th St, Los Angeles, CA, 90018",Filming,2
"2152 Valentine St, Los Angeles, CA, 90026",Filming,2
"21524 Nordhoff St, Los Angeles, CA, 91311",Filming,1
"21525 Oxnard St, Woodland Hills, CA, 91367",Filming,1
"2153 Lemoyne St, Los Angeles, CA, 90026",Filming,1
"21530 Oxnard St, Los Angeles, CA, 91367",Filming,1
"21536 Devonshire Street, Chatsworth, CA, 91311",Filming,1
"2154 Hill Dr, Los Angeles, CA, 90041",Filming,1
"2154 W Hill Dr, Los Angeles, CA, 90041",Filming,1
"21550 Oxnard St, San Fernando Valley, CA, 91367",Filming,1
"2157 Vine St, Los Angeles, CA, 90068",Filming,1
"216 N Saltair Ave, Los Angeles, CA, 90049",Still,1
"216 S Alameda St, Los Angeles, CA, 90012",Filming,7
"216 S Plymouth Blvd, Los Angeles, CA, 90004",Filming,1
"216 S. Alameda, Los Angeles, CA, 90012",Filming,4
"2160 Colorado Blvd, Los Angeles, CA, 90041",Filming,1
"2160 Colorado Blvd, Los Angeles, CA, 90041",Still,1
"21600 Oxnard St, Woodland Hills, CA, 91367",Filming,13
"21600 Oxnard St, Woodland Hills, CA, 91367",Still,1
"21600 Oxnard Street, Woodland Hills, CA, 91367",Filming,1
"21601 Sherman Way, Los Angeles, CA, 91303",Filming,3
"21601 Victory Blvd, Canoga Park, CA, 91303",Filming,1
"21615 Devonshire St, Chatsworth, CA, 91311",Filming,3
"2162 Willetta Ave, Los Angeles, CA, 90068",Filming,2
"21621 Devonshire St, Los Angeles, CA, 91311",Filming,4
"21622 Plummer St, Los Angeles, CA, 91402",Filming,9
"21622 Sherman Way, Los Angeles, CA, 91303",Filming,1
"21635 Devonshire St, Los Angeles, CA, 91311",Filming,6
"21635 Devonshire Street, San Fernando Valley, CA, 91311",Filming,6
"21636 Marilla St, Los Angeles, CA, 91311",Filming,1
"21650 Oxnard St, Los Angeles, CA",Filming,1
"21650 Oxnard St, Woodland Hills, CA, 91367",Filming,4
"217 S La Brea Ave, Los Angeles, CA, 90036",Filming,1
"217 S Pacific Ave, San Pedro, CA, 90731",Filming,1
"217 W 6th St, Los Angeles, CA, 90013",Filming,7
"217 W 8th St, Los Angeles, CA, 90014",Filming,4
"2170 North Commonwealth Avenue #10, Los Angeles, CA, 90027",Filming,1
"2170 Stradella Rd, Los Angeles, CA, 90077",Still,2
"21700 Oxnard St, San Fernando Valley, CA, 91367",Filming,3
"21701 Erwin St, Los Angeles, CA, 91367",Filming,2
"21702 Hart St, Los Angeles, CA, 91303",Filming,1
"21747 Devonshire St, Los Angeles, CA, 91311",Filming,1
"2177 Hollyridge Dr, Los Angeles, CA, 90068",Still,3
"21778 Ybarra Rd, Woodland Hills, CA, 91364",Filming,2
"2179 W 20th St, Los Angeles, CA, 90018",Filming,1
"2179 West 20th Street, Los Angeles, CA, 90018",Filming,1
"21797 Ventura Blvd, Los Angeles, CA, 91364",Filming,1
"218 Homewood Rd, Los Angeles, CA, 90049",Filming,2
"2180 W Live Oak Dr, Los Angeles, CA, 90068",Still,2
"21800 Oxnard St, Woodland Hills, CA, 91367",Filming,1
"21800 Oxnard St, Woodland Hills, CA, 91367",Still,1
"21800 Oxnard St., Suite 500, Woodland Hills, CA, 91367",Filming,1
"21816 Lanark St, Los Angeles, CA, 91304",Filming,1
"21850 Oxnard St, Los Angeles, CA, 91367",Filming,4
"21860 Califa St, Los Angeles, CA, 91367",Filming,1
"2188 Ponet Dr, Los Angeles, CA, 90068",Filming,10
"2189 Sunset Plaza Dr, Los Angeles, CA, 90069",Filming,5
"2189 Sunset Plaza Dr, Los Angeles, CA, 90069",Still,1
"2189 Whittier Blvd, Los Angeles, CA, 90023",Filming,1
"219 Rose Ave, Los Angeles, CA, 90291",Filming,1
"219 W 7th St, Los Angeles, CA, 90014",Filming,2
"219 W 7th St, Los Angeles, CA, 90057",Still,1
"21900 Ventura Blvd, Woodland Hills, CA, 91364",Filming,2
"21920 Strathern St, Los Angeles, CA, 91304",Filming,1
"220 E 1st St, Los Angeles, CA, 90012",Filming,1
"220 Harlem Pl, Los Angeles, CA, 90012",Filming,1
"220 S Irving Blvd, Los Angeles, CA, 90004",Filming,8
"220 S Olive St, Los Angeles, CA, 90012",Filming,1
"220 S Olive St, Los Angeles, CA, 90012",Still,1
"220 S Spring St, Los Angeles, CA, 90012",Filming,2
"220 S Spring St, Los Angeles, CA, 90013",Filming,6
"220 S Spring St, Los Angeles, CA, 90013",Still,2
"220 S Spring St, Los Angeles, CA, 90015",Filming,3
"220 S Van Ness Ave, Los Angeles, CA, 90020",Filming,1
"220 W 1st St, Los Angeles, CA, 90012",Filming,1
"220 W 9th St, Los Angeles, CA, 90015",Filming,2
"2200 East 15th Street, Los Angeles, CA, 90021",Filming,2
"2200 Hercules Dr, Los Angeles, CA, 90046",Filming,1
"2200 Laurel Canyon Blvd, Los Angeles, CA, 90046",Filming,4
"2200 Outpost Dr, Los Angeles, CA, 90068",Filming,1
"2200 S Harvard Blvd, Los Angeles, CA, 90018",Filming,12
"2200 Signal Pl, San Pedro, CA, 90731",Filming,1
"2200 W 3rd St, Los Angeles, CA, 90057",Filming,1
"2200 W. 3rd. St, Los Angeles, CA 90057",Filming,1
"22001 Santa Susana Pass Rd, Chatsworth, CA, 91311",Filming,1
"2201 Sunset Blvd, Los Angeles, CA, 90026",Filming,1
"2201 W Sunset Blvd, Los Angeles, CA, 90026",Filming,3
"2201 W Sunset Blvd, Los Angeles, CA, 90026",Still,1
"2202 S Figueroa St, Los Angeles, CA, 90007",Filming,6
"2202 South Victoria Avenue, Los Angeles, CA, 90016",Filming,4
"22029 Sherman Way, Los Angeles, CA, 91303",Filming,2
"2203 W 20th St, Los Angeles, CA, 90018",Filming,1
"22030 Tulsa St, Los Angeles, CA, 91311",Filming,20
"22035 Sherman Way, Los Angeles, CA, 91303",Filming,3
"2204 Signal Pl, Los Angeles, CA, 90731",Filming,1
"2205 N. Broadway , Los Angeles, CA, 90031",Filming,1
"2206 Reservoir St, Los Angeles, CA, 90026",Filming,2
"2206 S San Pedro St, Los Angeles, CA, 90011",Filming,5
"2207 N Beachwood Dr, Los Angeles, CA, 90068",Filming,26
"2207 W 24th St, Los Angeles, CA, 90018",Filming,3
"2209 East Cesar E Chavez Avenue, Los Angeles, CA, 90033",Filming,1
"2209 N Broadway, Los Angeles, CA, 90031",Still,1
"221 S Grand Ave, Los Angeles, CA, 90012",Filming,3
"221 S Grand Ave, Los Angeles, CA, 90012",Still,1
"221 W 2nd St, Los Angeles, CA, 90012",Filming,1
"221 W 2nd St, Los Angeles, CA, 90012",Still,2
"221 W 7th St, Los Angeles, CA, 90014",Filming,1
"2210 Lincoln Blvd, Los Angeles, CA, 90291",Filming,1
"2210 Maricopa Dr, Los Angeles, CA, 90065",Filming,1
"2210 Maricopa Dr, Los Angeles, CA, 90065",Still,5
"2210 Sichel St, Los Angeles, CA, 90031",Filming,1
"22102 Chatsworth St, Los Angeles, CA, 91311",Filming,1
"22107 Roscoe Blvd, Los Angeles, CA, 91304",Filming,1
"2211 Beverly Glen Pl, Los Angeles, CA, 90077",Still,2
"2211 Fox Hills Dr, Los Angeles, CA, 90064",Filming,3
"2211 S. Hoover St., Los Angeles, CA, 90007",Filming,2
"22116 De La Osa St, Los Angeles, CA, 91364",Filming,1
"2212 Beverly Blvd, Los Angeles, CA, 90057",Filming,1
"2212 N CAHUENGA BL., LOS ANGELES, CA, 90068",Filming,1
"2212 N Cahuenga Blvd #204, Los Angeles, CA, 90068",Filming,4
"2212 S Ridgeley Dr, Los Angeles, CA, 90016",Filming,1
"22122 Victory Blvd, Los Angeles, CA, 91367",Filming,2
"22124 Mayall St, Los Angeles, CA, 91311",Filming,1
"22129 Mayall St, Chatsworth, CA, 91311",Filming,1
"2214 W 20th St, Los Angeles, CA, 90018",Filming,3
"2215 S Harvard Blvd, Los Angeles, CA, 90018",Filming,4
"2215 S. Harvard BL., Los Angeles, CA, 90018",Filming,1
"22151 Rayen St, Los Angeles, CA, 91304",Filming,1
"22160 Ventura Blvd, Woodland Hills, CA, 91364",Filming,10
"22161 Napa St, Canoga Park, CA, 91304",Filming,1
"2217 S Harvard Blvd, Los Angeles, CA, 90018",Filming,3
"2218 Effie St, Los Angeles, CA, 90026",Filming,2
"2218 S Harvard Blvd, Los Angeles, CA, 90018",Filming,72
"2218 S Harvard Blvd, Los Angeles, CA, 90018",Still,5
"2218 W 20th St, Los Angeles, CA, 90018",Filming,1
"2219 Gates St, Los Angeles, CA, 90031",Filming,2
"2219 S Harvard Blvd, Los Angeles, CA, 90018",Filming,1
"222 6th Ave, Los Angeles, CA, 90291",Filming,1
"2220 Astral Pl, Los Angeles, CA, 90046",Filming,2
"2220 Beverly Blvd, Los Angeles, CA, 90057",Filming,2
"2220 Beverly Blvd., Los Angeles, CA, 90057",Filming,2
"2220 Canyon Dr, Los Angeles, CA, 90068",Still,1
"2220 Talmadge St, Los Angeles, CA, 90027",Filming,9
"2220 W 3rd St, Los Angeles, CA, 90057",Filming,1
"22211 BUENAVENTURA ST., WOODLAND HILLS, CA, 91364",Filming,1
"2222 Astral Dr, Los Angeles, CA, 90046",Filming,3
"2222 Astral Dr, Los Angeles, CA, 90046",Still,1
"2222 Avenue of the Stars - 2220 Avenue of the Stars, Los Angeles, CA, 90067",Filming,3
"2222 Johnston St, Los Angeles, CA, 90031",Filming,2
"2222 Laverna Ave, Los Angeles, CA, 90041",Filming,1
"2222 San Marco Dr, Los Angeles, CA, 90068",Filming,1
"2222 W Florence Ave, Los Angeles, CA, 90043",Filming,5
"22223 Ventura Blvd, Los Angeles, CA, 91364",Filming,1
"22227 Ave San Luis, Los Angeles, CA, 91364",Filming,1
"2223 Nella Vista Ave, Los Angeles, CA, 90027",Filming,1
"2223 S Carmelina Ave, Los Angeles, CA, 90064",Filming,20
"2224 Walgrove Ave, Los Angeles, CA, 90066",Filming,11
"22244 Philiprim St, Los Angeles, CA, 91367",Filming,2
"2225 Colorado Blvd, Los Angeles, CA, 90041",Filming,3
"2225 Dorris Pl, Los Angeles, CA, 90031",Filming,56
"22250 Elkwood St, Los Angeles, CA, 91304",Filming,2
"22255 Needles St, Los Angeles, CA, 91311",Filming,10
"22273 Del Valle St, Los Angeles, CA, 91364",Filming,1
"2228 Cambridge St, Los Angeles, CA, 90006",Filming,1
"2228 Jefferson Blvd. - 2230 Jefferson Blvd., Los Angeles, CA",Filming,2
"2229 Glyndon Ave, Venice, CA, 90291",Filming,1
"2229 Walgrove Ave, Los Angeles, CA, 90066",Filming,3
"223 N Windsor Blvd, Los Angeles, CA, 90004",Filming,1
"2230 Norfolk St, Los Angeles, CA, 90089",Filming,2
"2230 Superior Ave, Venice, CA, 90291",Filming,2
"2230 W 30th St, Los Angeles, CA, 90018",Filming,4
"2230 W 6th St, Los Angeles, CA, 90057",Filming,40
"2230 W 6th St, Los Angeles, CA, 90057",Still,9
"22300 Chatsworth St, LOS ANGELES, CA, 91311",Filming,4
"22300 CHATSWORTH ST., CHATSWORTH, CA, 91311",Still,1
"22300 Mulholland Dr, Los Angeles, CA, 91364",Filming,1
"2231 Observatory Ave, Los Angeles, CA, 90027",Still,3
"2231 S Western Ave, Los Angeles, CA",Filming,2
"2231 S Western Ave, Los Angeles, CA, 90018",Filming,22
"2231 S Western Ave, Los Angeles, CA, 90018",Still,1
"2232 Lincoln Blvd, Venice, CA, 90291",Filming,1
"22323 Sherman Way, Los Angeles, CA, 91303",Filming,3
"22325 Ave San Luis, Los Angeles, CA, 91364",Filming,1
"2233 Daly St, Los Angeles, CA, 90031",Filming,6
"2233 Louella Ave, Los Angeles, CA, 90291",Filming,6
"2233 Thomas St, Los Angeles, CA, 90031",Filming,1
"2233 W 21st St, Los Angeles, CA, 90018",Filming,2
"2235 Hercules Dr, Los Angeles, CA, 90046",Filming,76
"2235 Hercules Dr, Los Angeles, CA, 90046",Still,1
"2235 Linnington Ave, Los Angeles, CA, 90064",Filming,4
"22351 Ventura Blvd, Woodland Hls, CA, 91364",Filming,1
"22360 Devonshire St, Los Angeles, CA, 91311",Filming,3
"2238 Griffin Ave, Los Angeles, CA, 90031",Filming,4
"2238 W Pico Blvd, Los Angeles, CA, 90006",Filming,1
"2239 Laverna Ave, Los Angeles, CA, 90041",Filming,1
"2239 W 24th St, Los Angeles, CA, 90018",Filming,1
"224 E 11th St, Los Angeles, CA, 90015",Filming,1
"224 Homewood Rd, Los Angeles, CA, 90049",Filming,15
"224 N Gramercy Pl, Los Angeles, CA, 90004",Filming,16
"224 N Ridgewood Pl, Los Angeles, CA, 90004",Filming,2
"224 Whalers Walk, San Pedro, CA, 90731",Filming,7
"2240 Federal Ave, Los Angeles, CA, 90064",Still,1
"2240 Sawtelle Blvd, Los Angeles, CA, 90064",Filming,1
"22400 Halldale Ave, Torrance, CA, 90501",Filming,2
"22417 Dolorosa St, Los Angeles, CA, 91367",Filming,2
"2242 S Hobart Blvd, Los Angeles, CA, 90018",Filming,1
"22422 Santa Susana Pass Rd, Los Angeles, CA, 91311",Filming,2
"22422 Santa Susana Pass Rd., Chatsworth, CA, 91311",Filming,2
"2243 Merton Ave, Los Angeles, CA, 90041",Filming,2
"22433 Dolorosa St, Los Angeles, CA, 91367",Filming,1
"22438 Burbank Blvd, Woodland Hills, CA, 91367",Filming,6
"2245 Yosemite Dr, Los Angeles, CA, 90041",Filming,13
"2245 Yosemite Dr, Los Angeles, CA, 90041",Still,2
"2245 Yosemite Drive, Los Angeles, CA, 90041",Filming,3
"2246 Fair Park Ave, Los Angeles, CA, 90041",Filming,2
"2246 Glyndon Ave, Los Angeles, CA, 90291",Filming,3
"2247 Chelan Pl, Los Angeles, CA, 90068",Filming,1
"2247 W Fargo St, Los Angeles, CA, 90039",Filming,1
"2249 Midvale Ave, Los Angeles, CA, 90064",Filming,1
"225 E 118TH PL., LOS ANGELES, CA, 90061",Filming,7
"225 S Oxford Ave, Los Angeles, CA, 90004",Filming,1
"225 S St Andrews Pl, Los Angeles, CA, 90004",Filming,1
"225 S St Andrews Pl, Los Angeles, CA, 90005",Filming,5
"225 S. Grand Av, L.A., CA, 90012",Filming,1
"2250 E 114th St, Los Angeles, CA, 90059",Filming,1
"2250-2260 E 15th Street, Los Angeles, CA, 90021",Filming,1
"2251 Linda Flora Dr, Los Angeles, CA, 90077",Filming,1
"2251 Venice Blvd, Los Angeles, CA, 90006",Filming,1
"22517 Ventura Blvd, Los Angeles, CA, 91364",Filming,1
"22530 Ventura Blvd, Los Angeles, CA, 91364",Filming,1
"2254 N Beachwood Dr, Los Angeles, CA, 90068",Filming,7
"22544 Vanowen St, Los Angeles, CA, 91307",Filming,6
"22554 Tiara St, Los Angeles, CA, 91367",Still,1
"2256 Colorado Blvd, Los Angeles, CA, 90041",Filming,2
"226 N Larchmont Blvd, Los Angeles, CA, 90004",Filming,1
"226 S Arden Blvd, Los Angeles, CA, 90004",Filming,1
"226 S St Andrews Pl, Los Angeles, CA, 90004",Filming,1
"2260 N Cahuenga Blvd, Los Angeles, CA, 90068",Filming,1
"22600 Ventura Blvd, Woodland Hills, CA, 91364",Filming,1
"22617 Dolorosa St, Woodland Hills, CA, 91367",Filming,1
"2263 Colorado Blvd, Los Angeles, CA, 90041",Filming,1
"2263 S Harvard Blvd, Los Angeles, CA, 90018",Filming,1
"2263 W 24th St, Los Angeles, CA, 90018",Filming,2
"22635 Vanowen St, West Hills, CA, 91307",Filming,2
"22639 Ballinger St, Los Angeles, CA, 91311",Filming,12
"22640 Califa St, Woodland Hills, CA, 91367",Filming,2
"2268 Hill Dr, Los Angeles, CA, 90041",Filming,1
"227 S Ramona Ave, Monterey Park, CA, 91754",Filming,1
"227 S Wilton Pl, Los Angeles, CA, 90004",Filming,6
"2270 Jesse St, Los Angeles, CA, 90023",Filming,40
"2270 Jesse St, Los Angeles, CA, 90023",Still,35
"2270 Jesse St., Los Angeles, CA, 90023",Filming,7
"2270 Jesse St., Los Angeles, CA, 90023",Still,2
"22700 Erwin St, Woodland Hills, CA, 91367",Filming,18
"22701 Rodax St, Los Angeles, CA, 91304",Filming,1
