Non Profit,Address,CD #
Wilmington Chamber of Commerce,"544 N. Avalon Blvd., Wilmington 90744",15
Robert F. Kennedy Institute,"544 N. Avalon Blvd., Wilmington 90744",15
Wilmington Healthy Start,"544 N. Avalon Blvd., Wilmington 90744",15
Good Samaritan Counseling,"544 N. Avalon Blvd., Wilmington 90744",15
San Pedro Bay Historical Society,"638 S. Beacon St., San Pedro, 90731",15
Harbor Area Volunteer Center,"638 S. Beacon St., San Pedro, 90731",15
Tujunga Temporary Aid Center,"7747 Foohill Blvd., Tujunga 91402",2
Project Restore,"200 N. Main St., L.A 90012",9
Cypress Park Youth & Family Center,"929 Cypress Ave., L.A. 90065",1
"Delta Sigma Theta Life Development, Inc.","2475 Washington Blvd., L.A. 90019",10
Milestone Center for Education Therapy,"5070 Slauson Ave., L.A. 90230",11
"O.P.I.C.A. Adult Day Care Center, Inc","11759 Missouri Ave., L.A. 90025",11
Pacoima Youth and Family Center,"11243 Glenoaks Blvd St. 30., Pacoima 91331",7
S. Central Youth Opportunities Unlimited,"917-927 W. Manchester Blvd., L.A. 90044",8
Tom Bradley W. L.A Youth & Fam. Cen.,"5213 W. Pico Blvd., L.A. 90031",10
University Muslim Medical Association,"711 W. Florence Ave., L.A. 90044",8
Vera Davis McClendon Youth & Fam. Cen.,"610 California St., Venice 90291",11
Historical Society of Southern California,"200 E. Avenue 43, L.A.",9
Organization for Needs of the Elderly,"17400 Victory Blvd., Encino",3
Barnarde Senior Citizen Center,"4935 Balboa Blvd., Encino, 91316",5
Canoga Park Senior Citizen Center,"7326 Jordan Ave., Canoga Park, 91303",3
 Council Approved - In Process, ,
Armenian Cultural Center,"5001 N Balboa Blvd, Encino",5
Pacoima Beautiful,"13520 Van Nuys Blvd, Pacoima",7
Non Profit Vacated Facility,,
Coalition for Responsible Community,4225 S. Olive St-Juniperro Serra Library,9
LA Conservation Corps ,"729 W. Manchester Ave, LA 90044",8
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
