BID Name,APN,Site Addr,Current Asmt
East Hollywood,5543009900,4800 Hollywood Blvd,"$2,625.06"
East Hollywood,5543009901,4800 Hollywood Blvd,$691.27
East Hollywood,5543009902,4800 Hollywood Blvd,$578.65
East Hollywood,5543010900,4800 Hollywood Blvd,$39.79
East Hollywood,5543011901,4800 Hollywood Blvd,"$16,314.83"
East Hollywood,5543012900,4800 Hollywood Blvd,$296.39
,6,,"$20,545.99"
