BID Name,APN,Site Addr,Current Asmt
Chinatown,5407020903,841 Yale St,"$3,662.91"
Chinatown,5407021902,801 Yale St,"$12,453.90"
Chinatown,5407025900,No site address,"$1,373.59"
Chinatown,5407025901,No site address,$915.73
Chinatown,5407025902,No site address,$457.86
Chinatown,5408017904,657 N Hill St,"$4,807.57"
Chinatown,5409008908,901 S Main St,"$2,121.44"
Chinatown,5414013900,900 N Broadway,"$29,805.46"
,8,,"$55,598.46"
