BID Name,APN,Site Addr,Current Asmt
South Park,5134007933,S Figueroa St,"$47,297.25"
South Park,5138016912,1201 S Figueroa St,"$25,625.25"
South Park,5138016914,No site address,"$11,954.25"
South Park,5138025900,1258 S Figueroa St,"$5,442.47"
,4,,"$90,319.22"
